Offense,Bail Type,Bail Type 2,% of Total Bail Type 2,offense_type
Criminal trespass to real property,No Bail,4.00,0.00,All Offense Types
DUI,No Bail,28.00,0.03,All Offense Types
Criminal damage to property,No Bail,2.00,0.00,All Offense Types
Driving on a suspended license,No Bail,12.00,0.01,All Offense Types
Possession of a controlled substance,No Bail,32.00,0.02,All Offense Types
Manufacture/delivery of a controlled substance,No Bail,33.00,0.01,All Offense Types
Retail theft,No Bail,10.00,0.00,All Offense Types
Battery,No Bail,6.00,0.00,All Offense Types
Aggravated unlawful use of a weapon,No Bail,79.00,0.01,All Offense Types
Domestic battery,No Bail,38.00,0.01,All Offense Types
Criminal trespass to real property,C/D-Bond,85.00,0.08,All Offense Types
DUI,C/D-Bond,432.00,0.41,All Offense Types
Criminal damage to property,C/D-Bond,263.00,0.16,All Offense Types
Driving on a suspended license,C/D-Bond,257.00,0.22,All Offense Types
Possession of a controlled substance,C/D-Bond,383.00,0.19,All Offense Types
Manufacture/delivery of a controlled substance,C/D-Bond,516.00,0.23,All Offense Types
Retail theft,C/D-Bond,394.00,0.17,All Offense Types
Battery,C/D-Bond,314.00,0.10,All Offense Types
Aggravated unlawful use of a weapon,C/D-Bond,4232.00,0.76,All Offense Types
Domestic battery,C/D-Bond,3222.00,0.43,All Offense Types
Criminal trespass to real property,I-Bond,950.00,0.91,All Offense Types
DUI,I-Bond,583.00,0.56,All Offense Types
Criminal damage to property,I-Bond,1401.00,0.84,All Offense Types
Driving on a suspended license,I-Bond,877.00,0.77,All Offense Types
Possession of a controlled substance,I-Bond,1594.00,0.79,All Offense Types
Manufacture/delivery of a controlled substance,I-Bond,1683.00,0.75,All Offense Types
Retail theft,I-Bond,1871.00,0.82,All Offense Types
Battery,I-Bond,2878.00,0.90,All Offense Types
Aggravated unlawful use of a weapon,I-Bond,1287.00,0.23,All Offense Types
Domestic battery,I-Bond,4291.00,0.57,All Offense Types
Aggravated domestic battery,No Bail,7.00,0.04,Detainable - Public Safety
Predatory criminal sexual assault of a child,No Bail,38.00,0.23,Detainable - Public Safety
Armed robbery,No Bail,42.00,0.24,Detainable - Public Safety
Attempt first degree murder,No Bail,90.00,0.36,Detainable - Public Safety
First degree murder,No Bail,253.00,0.75,Detainable - Public Safety
Unlawful use of a weapon by a felon,No Bail,7.00,0.01,Detainable - Public Safety
Violation of an order of protection,No Bail,26.00,0.03,Detainable - Public Safety
Armed habitual criminal,No Bail,97.00,0.09,Detainable - Public Safety
Aggravated unlawful use of a weapon,No Bail,79.00,0.01,Detainable - Public Safety
Domestic battery,No Bail,38.00,0.01,Detainable - Public Safety
Aggravated domestic battery,C/D-Bond,138.00,0.86,Detainable - Public Safety
